,open,high,low,close,adjclose,volume,ticker
2018-12-31,249.55999755859375,250.19000244140625,247.47000122070312,249.9199981689453,234.89207458496094,144299400,SPY
2019-01-02,245.97999572753906,251.2100067138672,245.9499969482422,250.17999267578125,235.1364288330078,126925200,SPY
2019-01-03,248.22999572753906,248.57000732421875,243.6699981689453,244.2100067138672,229.52542114257812,144140700,SPY
2019-01-04,247.58999633789062,253.11000061035156,247.1699981689453,252.38999938964844,237.21353149414062,142628800,SPY
2019-01-07,252.69000244140625,255.9499969482422,251.69000244140625,254.3800048828125,239.08389282226562,103139100,SPY
2019-01-08,256.82000732421875,257.30999755859375,254.0,256.7699890136719,241.3301544189453,102512600,SPY
2019-01-09,257.55999755859375,258.9100036621094,256.19000244140625,257.9700012207031,242.45803833007812,95006600,SPY
2019-01-10,256.260009765625,259.1600036621094,255.5,258.8800048828125,243.31333923339844,96823900,SPY
2019-01-11,257.67999267578125,259.010009765625,257.0299987792969,258.9800109863281,243.40731811523438,73858100,SPY
2019-01-14,256.8599853515625,258.29998779296875,256.4100036621094,257.3999938964844,241.9222869873047,70908200,SPY
2019-01-15,257.82000732421875,260.70001220703125,257.80999755859375,260.3500061035156,244.69493103027344,85208300,SPY
2019-01-16,260.8299865722656,261.9700012207031,260.6000061035156,260.9800109863281,245.28701782226562,77636700,SPY
2019-01-17,260.010009765625,263.9200134277344,259.9599914550781,262.9599914550781,247.14794921875,96118400,SPY
2019-01-18,264.9800109863281,266.9800109863281,263.0,266.4599914550781,250.43746948242188,127900300,SPY
2019-01-22,264.82000732421875,265.05999755859375,261.05999755859375,262.8599853515625,247.05397033691406,115531200,SPY
2019-01-23,264.010009765625,264.7900085449219,260.6600036621094,263.4100036621094,247.57095336914062,86030300,SPY
2019-01-24,263.2099914550781,264.20001220703125,262.0799865722656,263.54998779296875,247.70245361328125,59204100,SPY
2019-01-25,265.6099853515625,266.70001220703125,263.6600036621094,265.7799987792969,249.79837036132812,96883400,SPY
2019-01-28,263.3900146484375,263.8299865722656,261.7900085449219,263.760009765625,247.89990234375,85613700,SPY
2019-01-29,263.9200134277344,264.54998779296875,262.4800109863281,263.4100036621094,247.57095336914062,66136300,SPY
2019-01-30,265.1000061035156,268.5199890136719,264.25,267.5799865722656,251.4901123046875,92473700,SPY
2019-01-31,267.510009765625,270.4700012207031,267.2699890136719,269.92999267578125,253.69883728027344,104012100,SPY
2019-02-01,270.1499938964844,271.20001220703125,269.17999267578125,270.05999755859375,253.8209686279297,85782500,SPY
2019-02-04,270.1099853515625,272.0299987792969,269.3599853515625,271.9599914550781,255.6068115234375,60744800,SPY
2019-02-05,272.44000244140625,273.44000244140625,271.8800048828125,273.1000061035156,256.6782531738281,79552800,SPY
2019-02-06,272.7900085449219,273.3399963378906,271.9200134277344,272.739990234375,256.3398742675781,58347800,SPY
2019-02-07,270.94000244140625,271.54998779296875,268.2900085449219,270.1400146484375,253.89620971679688,95482000,SPY
2019-02-08,268.75,270.5799865722656,267.8299865722656,270.4700012207031,254.2063751220703,75788900,SPY
2019-02-11,271.20001220703125,271.489990234375,270.0299987792969,270.6199951171875,254.34732055664062,68021400,SPY
2019-02-12,272.4200134277344,274.5199890136719,272.3399963378906,274.1000061035156,257.61810302734375,72270200,SPY
2019-02-13,275.0299987792969,275.92999267578125,274.55999755859375,274.989990234375,258.45458984375,65277200,SPY
2019-02-14,273.7799987792969,275.6400146484375,272.8699951171875,274.3800048828125,257.8812255859375,83234400,SPY
2019-02-15,276.3599853515625,277.4100036621094,276.1300048828125,277.3699951171875,260.69146728515625,97088700,SPY
2019-02-19,276.4800109863281,278.5799865722656,276.4700012207031,277.8500061035156,261.1426086425781,59120800,SPY
2019-02-20,277.80999755859375,278.9200134277344,277.25,278.4100036621094,261.6689453125,76610800,SPY
2019-02-21,277.70001220703125,278.1000061035156,276.3500061035156,277.4200134277344,260.73846435546875,64214700,SPY
2019-02-22,278.1099853515625,279.3599853515625,277.3999938964844,279.1400146484375,262.3550720214844,78114600,SPY
2019-02-25,280.7300109863281,281.30999755859375,279.42999267578125,279.5199890136719,262.712158203125,69030700,SPY
2019-02-26,279.1300048828125,280.29998779296875,278.8999938964844,279.32000732421875,262.5242614746094,56844100,SPY
2019-02-27,278.5199890136719,279.5899963378906,277.4800109863281,279.20001220703125,262.4114685058594,56921600,SPY
2019-02-28,278.9599914550781,279.45001220703125,278.32000732421875,278.67999267578125,261.9227294921875,69268300,SPY
2019-03-01,280.44000244140625,280.8800048828125,278.82000732421875,280.4200134277344,263.5580749511719,78880500,SPY
2019-03-04,281.6000061035156,281.8699951171875,276.8399963378906,279.3999938964844,262.599365234375,106494600,SPY
2019-03-05,279.5400085449219,279.760009765625,278.4100036621094,279.0199890136719,262.2422790527344,59114600,SPY
2019-03-06,279.1499938964844,279.1600036621094,276.9700012207031,277.3299865722656,260.65386962890625,75039800,SPY
2019-03-07,276.8299865722656,276.989990234375,274.07000732421875,275.010009765625,258.47332763671875,94885100,SPY
2019-03-08,272.94000244140625,274.6499938964844,272.4200134277344,274.4599914550781,257.9564514160156,85795800,SPY
2019-03-11,275.260009765625,278.6199951171875,275.2300109863281,278.44000244140625,261.6971130371094,65098900,SPY
2019-03-12,279.05999755859375,280.07000732421875,278.8500061035156,279.489990234375,262.68389892578125,79667500,SPY
2019-03-13,280.4800109863281,282.3800048828125,280.29998779296875,281.3399963378906,264.42266845703125,80639200,SPY
2019-03-14,281.3699951171875,281.8399963378906,280.6700134277344,281.1600036621094,264.25360107421875,67518400,SPY
2019-03-15,280.5400085449219,282.2099914550781,280.3299865722656,281.30999755859375,265.55914306640625,81309000,SPY
2019-03-18,281.54998779296875,282.6600036621094,281.29998779296875,282.3299865722656,266.52203369140625,62199800,SPY
2019-03-19,283.510009765625,284.3599853515625,281.4100036621094,282.3999938964844,266.5881042480469,90268100,SPY
2019-03-20,282.1600036621094,283.5,280.32000732421875,281.54998779296875,265.7857360839844,84609200,SPY
2019-03-21,280.6400146484375,285.17999267578125,280.5899963378906,284.7300109863281,268.78765869140625,79550400,SPY
2019-03-22,283.2200012207031,283.79998779296875,279.17999267578125,279.25,263.61456298828125,122659300,SPY
2019-03-25,278.8699951171875,280.19000244140625,277.6400146484375,279.0400085449219,263.4162292480469,85575200,SPY
2019-03-26,280.989990234375,282.17999267578125,279.55999755859375,281.1199951171875,265.37982177734375,68125900,SPY
2019-03-27,281.1099853515625,281.760009765625,277.92999267578125,279.6499938964844,263.9920959472656,72224700,SPY
2019-03-28,280.3500061035156,281.2099914550781,279.07000732421875,280.7099914550781,264.9927673339844,56238500,SPY
2019-03-29,282.3900146484375,282.8399963378906,281.1400146484375,282.4800109863281,266.66363525390625,82186800,SPY
2019-04-01,284.70001220703125,286.1600036621094,284.3999938964844,285.8299865722656,269.8260498046875,77617900,SPY
2019-04-02,286.0400085449219,286.2300109863281,285.0899963378906,285.9700012207031,269.95819091796875,40070400,SPY
2019-04-03,287.32000732421875,287.760009765625,285.75,286.4200134277344,270.383056640625,68243200,SPY
2019-04-04,286.7799987792969,287.4599914550781,286.010009765625,287.17999267578125,271.1004638671875,48997500,SPY
2019-04-05,287.9200134277344,288.6300048828125,287.6000061035156,288.57000732421875,272.4126892089844,58621700,SPY
2019-04-08,288.1000061035156,288.9100036621094,287.3699951171875,288.7900085449219,272.620361328125,53566300,SPY
2019-04-09,287.7200012207031,288.0799865722656,286.70001220703125,287.30999755859375,271.2231750488281,66142300,SPY
2019-04-10,287.7699890136719,288.3900146484375,287.30999755859375,288.2900085449219,272.1483154296875,52601500,SPY
2019-04-11,288.8299865722656,288.8399963378906,287.5799865722656,288.2099914550781,272.0728454589844,55093100,SPY
2019-04-12,290.0,290.4700012207031,288.260009765625,290.1600036621094,273.91357421875,69727800,SPY
2019-04-15,290.239990234375,290.3500061035156,289.0799865722656,289.9700012207031,273.7342834472656,49596700,SPY
2019-04-16,290.95001220703125,291.010009765625,289.5,290.1600036621094,273.91357421875,52153200,SPY
2019-04-17,291.3999938964844,291.42999267578125,288.989990234375,289.45001220703125,273.2433166503906,58268300,SPY
2019-04-18,290.1000061035156,290.32000732421875,288.6600036621094,290.0199890136719,273.78143310546875,68708500,SPY
2019-04-22,289.1700134277344,290.44000244140625,289.07000732421875,290.2699890136719,274.0174255371094,40160100,SPY
2019-04-23,290.67999267578125,293.1400146484375,290.4200134277344,292.8800048828125,276.4813537597656,52246600,SPY
