,open,high,low,close,adjclose,volume,ticker
2020-12-28,69.18000030517578,69.30000305175781,69.01000213623047,69.12000274658203,65.52239227294922,4675300,IEFA
2020-12-29,69.94000244140625,69.98999786376953,69.4800033569336,69.5999984741211,65.97740936279297,7561900,IEFA
2020-12-30,69.93000030517578,70.1500015258789,69.66999816894531,69.70999908447266,66.08168029785156,6934600,IEFA
2020-12-31,69.68000030517578,69.68000030517578,68.98999786376953,69.08999633789062,65.49394989013672,15952800,IEFA
2021-01-04,70.44000244140625,70.4800033569336,69.20999908447266,69.48999786376953,65.87313079833984,16828100,IEFA
2021-01-05,69.69999694824219,70.41999816894531,69.69000244140625,70.2699966430664,66.61253356933594,9754500,IEFA
2021-01-06,70.37000274658203,71.43000030517578,70.33999633789062,71.12999725341797,67.42777252197266,14787300,IEFA
2021-01-07,70.94000244140625,71.22000122070312,70.91000366210938,71.12999725341797,67.42777252197266,6964100,IEFA
2021-01-08,71.63999938964844,71.7699966430664,71.01000213623047,71.75,68.01549530029297,6950000,IEFA
2021-01-11,70.43000030517578,71.0,70.41000366210938,70.75,67.06755065917969,5801800,IEFA
2021-01-12,70.80000305175781,71.16000366210938,70.55999755859375,71.08999633789062,67.38985443115234,11783400,IEFA
2021-01-13,71.05000305175781,71.19000244140625,70.87999725341797,70.9800033569336,67.28558349609375,8439400,IEFA
2021-01-14,71.18000030517578,71.69000244140625,71.18000030517578,71.5199966430664,67.79747009277344,20416900,IEFA
2021-01-15,70.62999725341797,70.73999786376953,70.01000213623047,70.37999725341797,66.71680450439453,8485000,IEFA
2021-01-19,71.0,71.0,70.6500015258789,70.91999816894531,67.22869873046875,8650800,IEFA
2021-01-20,71.05000305175781,71.45999908447266,70.94999694824219,71.41999816894531,67.70268249511719,9075500,IEFA
2021-01-21,71.5199966430664,71.5999984741211,71.08000183105469,71.56999969482422,67.8448715209961,10215600,IEFA
2021-01-22,70.91000366210938,71.27999877929688,70.87999725341797,71.19000244140625,67.48464965820312,6414500,IEFA
2021-01-25,70.58999633789062,71.02999877929688,70.16999816894531,70.98999786376953,67.29505157470703,14442100,IEFA
2021-01-26,71.1500015258789,71.23999786376953,70.9000015258789,71.19000244140625,67.48464965820312,5448700,IEFA
2021-01-27,69.87999725341797,70.2699966430664,69.29000091552734,69.4800033569336,65.86366271972656,12444300,IEFA
2021-01-28,69.79000091552734,70.43000030517578,69.70999908447266,70.08999633789062,66.44190216064453,10386700,IEFA
2021-01-29,69.2699966430664,69.44999694824219,68.29000091552734,68.58000183105469,65.01050567626953,13328200,IEFA
2021-02-01,69.47000122070312,69.55000305175781,69.13999938964844,69.5,65.88261413574219,10523000,IEFA
2021-02-02,69.9000015258789,70.2699966430664,69.72000122070312,70.22000122070312,66.56513214111328,5996300,IEFA
